,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Complete dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPI Rank,Country,Region,"Average Life Expectancy","Average Wellbeing(0-10)",Happy Life Years,"Footprint(gha/capita)",Inequality of Outcomes,Inequality-adjusted Life Expectancy,Inequality-adjusted Wellbeing,Happy Planet Index," GDP/capita($PPP) ",Population,GINI index,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,Afghanistan,Middle East and North Africa,59.7,3.8,12.4,0.8,43%,38.3,3.4,20.2, $691 , 29726803 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,Albania,Post-communist,77.3,5.5,34.4,2.2,17%,69.7,5.1,36.8, $4247 , 2900489 ,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,Algeria,Middle East and North Africa,74.3,5.6,30.5,2.1,24%,60.5,5.2,33.3, $5584 , 37439427 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,Argentina,Americas,75.9,6.5,40.2,3.1,16%,68.3,6.0,35.2, $14357 , 42095224 ,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,Armenia,Post-communist,74.4,4.3,24.0,2.2,22%,66.9,3.7,25.7, $3566 , 2978339 ,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,Australia,Asia Pacific,82.1,7.2,53.1,9.3,8%,78.6,6.9,21.2, $67646 , 22728254 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,Austria,Europe,81.0,7.4,54.4,6.1,7%,78.0,7.1,30.5, $48324 , 8429991 ,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Bangladesh,Asia Pacific,70.8,4.7,23.3,0.7,27%,56.6,4.3,38.4, $859 , 155257387 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,Belarus,Post-communist,70.9,5.7,34.0,5.1,13%,66.7,5.3,21.7, $6722 , 9464000 ,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,Belgium,Europe,80.4,6.9,49.5,7.4,9%,77.2,6.6,23.7, $44731 , 11128246 ,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,Belize,Americas,69.8,6.1,34.2,2.5,18%,61.7,5.7,33.8, $4674 , 336707 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,Benin,Sub Saharan Africa,59.2,3.2,9.9,1.4,44%,37.3,2.8,13.4, $808 , 10049792 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,Bhutan,Asia Pacific,68.7,5.6,27.4,2.3,27%,54.5,5.2,28.6, $2452 , 743711 ,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,Bolivia,Americas,67.5,6.0,25.6,3.0,35%,47.9,5.5,23.3, $2645 , 10238762 ,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,Bosnia and Herzegovina,Post-communist,76.2,4.8,28.6,3.1,19%,71.1,4.2,25.3, $4495 , 3828419 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,Botswana,Sub Saharan Africa,64.2,4.8,21.3,3.8,28%,50.8,4.3,16.6, $6936 , 2132822 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,Brazil,Americas,73.9,6.9,39.0,3.1,22%,63.3,6.3,34.3, $12157 , 202401584 ,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,109,Bulgaria,Post-communist,73.9,4.2,24.0,3.3,19%,68.1,3.7,20.4, $7333 , 7305888 ,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,Burkina Faso,Sub Saharan Africa,58.0,4.0,12.6,1.2,43%,36.5,3.6,17.9, $673 , 16590813 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,Burundi,Sub Saharan Africa,55.8,3.4,9.5,0.8,48%,33.0,3.0,15.6, $244 , 10124572 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,Cambodia,Asia Pacific,67.5,3.9,18.2,1.2,28%,54.2,3.5,25.6, $946 , 14832255 ,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,Cameroon,Sub Saharan Africa,54.6,4.2,11.6,1.2,47%,33.1,3.7,16.7, $1222 , 21659488 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,Canada,Americas,81.7,7.4,53.9,8.2,9%,77.8,7.1,23.9, $52738 , 34751476 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,Chad,Sub Saharan Africa,50.8,4.0,9.6,1.5,51%,27.3,3.7,12.8, $973 , 12715465 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,Chile,Americas,81.1,6.6,44.7,4.4,14%,74.9,6.1,31.7, $15253 , 17388437 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,China,Asia Pacific,75.4,5.1,30.6,3.4,17%,68.6,4.6,25.7, $6265 , 1350695000 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Colombia,Americas,73.7,6.4,35.1,1.9,24%,63.1,5.7,40.7, $7885 , 46881018 ,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,Comoros,Sub Saharan Africa,62.6,4.0,15.4,1.0,36%,43.3,3.7,23.1, $750 , 733661 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Costa Rica,Americas,79.1,7.3,48.2,2.8,15%,72.6,6.8,44.7, $9733 , 4654148 ,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,Cote d'Ivoire,Sub Saharan Africa,50.8,3.8,10.3,1.3,45%,30.6,3.5,14.4, $1281 , 21102641 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,Croatia,Post-communist,77.0,6.0,39.6,3.9,12%,73.5,5.5,30.2, $13236 , 4267558 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,Cyprus,Europe,79.8,6.2,42.3,4.2,12%,76.6,5.7,30.7, $28868 , 1129303 ,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
